Recency,Frequency,MonetaryValue,Cluster
214,1,92.72,2
71,2,948.88,0
75,5,1759.5,0
60,1,397.12,0
3,7,1474.72,0
6,3,430.15,0
3,6,1018.71,0
337,2,293.0,2
38,6,6814.64,0
262,1,215.05,2
32,2,383.03,0
145,1,417.38,0
283,1,312.38,2
59,4,2612.86,0
173,1,134.1,0
34,2,683.13,0
3,14,5591.42,0
144,4,2726.77,0
5,25,4022.35,5
70,2,1118.99,0
66,8,1702.26,0
29,2,325.96000000000004,0
267,4,354.09,2
22,1,871.54,0
31,2,1050.89,0
97,1,135.18,0
295,1,311.55,2
135,6,1957.1,0
79,3,1324.5,0
373,1,38.1,2
8,6,2179.93,0
211,2,1106.4,2
52,1,521.2,0
138,1,147.12,0
26,2,1568.23,0
283,1,559.12,2
26,7,4036.82,0
186,6,1607.0600000000002,0
84,2,380.64,0
327,2,599.97,2
282,1,374.0,2
143,2,343.2300000000001,0
58,2,2218.02,0
4,12,1535.77,0
236,2,854.99,2
45,3,573.22,0
276,1,298.0,2
9,2,1463.04,0
25,4,703.47,0
88,1,309.05,0
63,3,1175.22,0
68,2,1378.4,0
214,2,354.12,2
24,1,380.47,0
186,3,331.0,0
31,1,188.14,0
42,2,372.8,0
205,2,216.5,2
9,28,17654.54,5
265,1,138.68,2
18,2,509.58,0
12,5,2919.81,0
176,2,750.0,0
40,5,2178.67,0
23,8,3075.04,0
3,5,1662.3,0
5,5,2483.63,0
149,2,363.65,0
139,4,3006.15,0
128,1,594.0,0
8,6,1335.19,0
17,1,164.23,0
9,37,16587.09,5
161,1,405.38,0
64,1,176.97,0
88,4,933.7,0
5,2,694.05,0
35,5,2062.7000000000003,0
312,1,117.85,2
78,2,415.8,0
22,15,42055.96,5
24,3,607.53,0
2,7,2160.7,0
17,4,1063.9,0
15,4,1504.27,0
26,1,114.14,0
64,8,11581.8,0
55,2,913.54,0
131,3,683.9,0
36,2,604.51,0
288,1,462.95,2
144,6,1603.99,0
16,7,2064.95,0
31,8,4167.22,0
2,3,1843.0,0
9,6,1064.07,0
6,4,1387.79,0
10,1,329.85,0
1,11,4757.16,0
306,1,108.07,2
10,8,4017.54,0
7,2,266.39,0
8,8,1856.63,0
89,1,771.91,0
10,1,160.18,0
358,2,1660.9,2
112,1,135.95,0
7,4,452.24,0
4,86,11189.91,3
198,1,144.8,2
212,1,738.6,2
156,1,39.24,0
158,9,7374.900000000001,0
30,2,372.22,0
243,1,390.54,2
19,1,97.5,0
1,2,1239.38,0
74,2,558.7,0
292,1,535.32,2
3,15,6924.110000000001,5
31,3,409.5,0
23,2,503.76,0
23,4,414.76,0
4,3,974.42,0
85,1,211.32,0
22,4,1226.89,0
196,3,455.88,2
107,3,534.85,0
4,13,9818.82,5
318,1,120.95,2
106,3,149.05,0
12,18,5655.91,5
174,2,513.7,0
56,1,81.57,0
323,1,229.47,2
372,1,50.55,2
9,8,1661.84,0
1,13,4810.9400000000005,0
11,10,3466.28,0
53,5,3346.28,0
73,3,789.89,0
7,1,204.0,0
16,28,7277.7,5
4,9,2616.38,0
64,2,689.9,0
1,5,975.36,0
114,6,6912.0,0
23,2,661.3199999999999,0
31,3,1247.5,0
11,2,799.48,0
52,2,1010.18,0
357,1,190.55,2
55,2,642.77,0
74,2,921.88,0
138,3,881.07,0
80,3,908.46,0
9,2,676.99,0
273,1,516.42,2
291,1,560.47,2
99,1,305.28000000000003,0
31,2,629.31,0
32,10,3237.54,0
14,4,1835.91,0
64,2,656.6800000000001,0
15,17,5836.86,5
212,1,348.15000000000003,2
78,3,1214.41,0
25,3,271.40000000000003,0
250,1,183.4,2
254,1,307.53,2
72,1,248.61,0
191,1,346.98,2
13,4,1119.49,0
373,1,205.86,2
24,2,470.8,0
82,1,115.46,0
10,2,344.0,0
1,24,4436.12,5
192,1,228.8,2
267,1,177.15,2
130,1,919.61,0
1,4,729.27,0
3,26,12627.94,5
4,5,220.1,0
179,1,58.08,0
12,11,28337.38,5
126,9,3613.63,0
4,2,303.75,0
158,2,416.08,0
3,97,58825.83,3
9,14,8910.82,5
28,1,345.82,0
71,5,477.83,0
276,8,7832.47,2
21,12,1927.32,0
71,1,74.39999999999999,0
33,10,6010.42,0
1,28,28882.44,5
99,1,207.36,0
234,1,101.19,2
1,24,6424.09,5
40,1,243.94,0
3,6,1098.48,0
133,1,76.5,0
44,4,1531.62,0
373,1,350.06,2
60,2,786.54,0
31,7,1488.67,0
1,24,12245.96,5
12,4,2294.78,0
138,1,501.14,0
22,8,984.91,0
20,5,1197.81,0
239,1,30.6,2
269,1,283.73,2
94,2,922.39,0
90,3,3866.33,0
5,8,2099.64,0
78,1,259.17,0
94,1,64.0,0
23,3,1073.3,0
262,1,77.3,2
274,2,109.8,2
86,4,1793.58,0
197,1,3096.0,2
56,5,2607.61,0
11,8,3650.41,0
22,6,962.39,0
16,7,5064.94,0
108,3,423.72,0
85,5,2388.75,0
19,1,307.09,0
333,1,110.95,2
40,4,618.52,0
26,1,228.91,0
10,4,712.8000000000001,0
29,12,3707.12,0
14,4,1676.06,0
296,1,1257.87,2
6,1,486.22,0
33,4,971.76,0
49,4,1741.22,0
95,4,1201.06,0
9,4,1437.85,0
22,1,91.8,0
313,1,112.75,2
122,4,1688.29,0
46,2,1021.48,0
283,1,417.2,2
19,4,791.33,0
36,4,1319.19,0
64,2,712.88,0
27,1,116.01,0
22,3,468.41,0
4,2,353.65,0
16,3,2817.03,0
46,1,492.84,0
65,1,282.45,0
26,11,5725.47,0
45,1,121.18,0
8,9,3957.78,0
15,10,1701.29,0
268,1,71.4,2
40,3,1575.89,0
337,1,236.02,2
11,1,114.6,0
19,2,260.68,0
95,2,911.94,0
61,1,117.88,0
136,1,60.7,0
11,4,1797.78,0
10,6,3401.24,0
4,38,9817.12,5
19,4,870.09,0
10,4,869.46,0
15,2,250.26,0
59,6,1223.9,0
30,8,5891.61,0
94,1,353.48,0
10,3,1197.42,0
20,3,788.08,0
57,5,1520.58,0
268,1,333.74,2
122,3,533.98,0
127,1,62.63999999999999,0
78,4,819.2900000000001,0
240,2,847.41,2
200,2,163.20000000000002,2
60,2,2155.95,0
3,7,6463.84,0
273,1,108.21,2
202,1,257.7,2
81,1,358.0,0
226,1,160.95,2
4,14,2806.97,0
13,7,1357.6,0
74,2,605.12,0
212,1,1031.07,2
25,2,744.85,0
17,4,700.73,0
262,1,329.56,2
96,4,663.65,0
112,3,270.40000000000003,0
203,1,600.07,2
93,1,121.74,0
51,1,430.5,0
18,6,1987.3,0
18,4,501.12,0
125,2,465.68,0
92,3,711.41,0
157,2,1030.4,0
9,2,399.51,0
14,1,0.0,0
12,3,698.58,0
62,1,292.32,0
61,1,557.62,0
269,2,944.1,2
263,1,200.29,2
1,35,7454.07,5
53,5,2107.66,0
11,12,3834.26,0
3,19,4521.49,5
18,11,3214.69,0
1,15,5346.2300000000005,5
366,1,590.0,2
37,1,217.38,0
31,2,276.56,0
113,1,138.98,0
64,2,590.9300000000001,0
16,4,258.4,0
41,1,542.73,0
78,1,137.75,0
122,3,814.86,0
18,3,1132.14,0
60,2,93.66,0
331,1,201.19,2
23,4,2709.12,0
156,1,361.11,0
39,2,578.9399999999999,0
190,2,873.74,2
360,1,201.2,2
137,1,87.4,0
8,4,2089.85,0
1,1,360.0,0
268,1,142.5,2
169,1,371.89,0
104,4,618.09,0
155,1,63.75,0
351,1,300.42,2
4,10,2000.86,0
120,1,15.0,0
23,3,1385.51,0
7,5,1456.79,0
28,3,1132.03,0
4,2,598.57,0
22,5,1555.32,0
2,3,775.94,0
37,4,5977.7300000000005,0
66,6,2273.68,0
1,3,640.76,0
5,26,10845.55,5
78,4,1548.7,0
72,2,567.36,0
17,1,199.48,0
3,5,787.85,0
36,10,7121.95,0
82,1,675.3,0
39,8,3627.77,0
316,1,1308.48,2
32,2,789.0,0
93,3,1140.93,0
14,1,350.9,0
82,3,3536.82,0
77,1,795.12,0
158,1,487.02,0
201,1,860.12,2
45,7,10736.48,0
261,1,775.85,2
178,1,353.43,0
68,3,2543.72,0
288,1,389.5,2
70,1,341.36,0
64,1,233.76,0
11,1,247.32,0
16,2,979.12,0
66,1,373.94,0
60,1,397.98,0
71,1,743.53,0
122,1,674.7,0
80,1,768.24,0
257,1,609.95,2
269,1,439.03,2
64,1,439.56,0
9,4,3090.74,0
18,2,992.5,0
71,1,134.95999999999998,0
34,2,2225.37,0
50,1,56.16,0
257,2,623.4,2
366,1,308.28000000000003,2
372,1,754.87,2
90,1,378.64,0
61,3,3312.25,0
89,1,778.65,0
99,3,1019.76,0
26,3,572.56,0
32,6,3639.31,0
281,1,222.99,2
31,7,4151.93,0
330,1,534.57,2
131,2,677.1,0
11,3,797.96,0
75,1,544.08,0
204,1,59.8,2
2,8,2520.02,0
185,1,307.72,2
29,2,1360.99,0
73,5,1544.13,0
192,1,457.34,2
127,2,621.23,0
18,1,75.0,0
1,2,252.49,0
74,3,572.451,0
2,62,28117.04,5
24,5,1003.06,0
107,1,213.55,0
134,3,1390.5,0
44,2,712.5,0
5,2,640.83,0
12,18,6127.43,5
64,1,221.06,0
150,2,159.85,0
40,2,1851.08,0
64,1,2626.3,0
108,3,1624.21,0
1,10,3641.32,0
19,3,582.6,0
10,1,218.47,0
11,4,1006.8,0
19,2,679.45,0
67,2,1269.1,0
74,2,534.24,0
5,7,3809.89,0
2,1,196.89,0
14,7,3408.06,0
255,1,283.71,2
92,1,296.64,0
23,3,1129.14,0
17,6,3539.37,0
24,1,291.88,0
27,6,2043.72,0
26,5,2976.15,0
259,2,590.0,2
166,2,356.98,0
25,2,1058.34,0
18,6,1766.72,0
7,14,9646.57,5
29,2,183.44,0
39,3,1445.0,0
253,1,151.5,2
58,1,674.68,0
184,1,307.9,2
11,2,1083.71,0
2,37,5704.97,5
99,2,165.0,0
1,4,2531.58,0
61,2,422.64,0
236,1,229.59,2
191,4,1431.78,2
179,2,1238.47,0
38,6,1454.58,0
201,2,300.95,2
46,5,1804.56,0
232,1,184.64,2
66,1,140.34,0
241,1,313.8,2
233,1,454.24,2
78,3,1122.41,0
58,3,575.4,0
17,13,8968.31,5
105,4,449.52,0
52,10,1215.82,0
136,3,1269.84,0
275,2,618.63,2
312,1,316.26000000000005,2
8,5,2044.87,0
11,2,653.33,0
283,2,348.05,2
18,5,1159.11,0
23,3,1166.77,0
288,1,1340.32,2
17,3,292.0,0
71,1,216.85,0
64,1,295.93,0
73,4,4393.63,0
316,2,458.52,2
3,4,2479.16,0
244,1,110.97,2
9,7,979.72,0
1,4,1791.56,0
261,1,251.21,2
127,1,205.1,0
74,1,152.20000000000002,0
73,4,891.12,0
21,3,1389.41,0
60,3,2128.42,0
86,1,659.4399999999999,0
78,1,122.75,0
59,6,3624.35,0
1,3,1093.65,0
30,1,125.8,0
33,5,3964.88,0
41,5,680.1800000000001,0
15,2,628.78,0
34,7,2287.51,0
79,2,307.76,0
205,2,483.8,2
34,1,210.31,0
183,3,270.79,2
2,25,5870.08,5
1,7,3448.29,0
43,7,1280.85,0
86,3,631.34,0
40,2,291.41,0
12,3,626.99,0
96,2,682.41,0
26,7,918.2,0
319,1,91.8,2
66,12,3740.07,0
74,4,4149.28,0
28,2,584.06,0
6,4,605.06,0
7,1,174.37,0
216,1,141.86,2
82,3,1799.33,0
84,2,777.53,0
144,3,1749.02,0
19,2,240.22,0
41,2,874.71,0
173,1,192.85,0
17,2,373.75,0
243,1,239.49,2
13,12,2092.32,0
206,1,1384.25,2
50,2,294.4,0
23,5,732.0699999999999,0
10,18,6717.34,5
25,4,1687.6,0
15,2,467.04,0
309,1,118.0,2
156,1,781.03,0
307,1,142.4,2
64,1,712.4,0
16,9,2478.95,0
15,2,379.65,0
11,6,1981.92,0
65,3,1117.13,0
36,4,247.96,0
108,5,2037.08,0
53,1,396.97,0
6,2,697.04,0
47,1,180.17,0
1,21,5153.67,5
312,1,219.52,2
45,2,693.32,0
65,1,428.89,0
26,1,164.34,0
29,3,280.54,0
40,1,678.01,0
12,7,1131.88,0
89,3,1171.8,0
24,4,1610.46,0
319,1,417.69,2
40,3,544.18,0
174,1,177.34,0
117,1,213.85,0
31,5,747.78,0
253,1,257.23,2
59,5,1638.47,0
23,11,7792.36,0
5,7,2031.78,0
100,11,3070.42,0
25,5,2121.27,0
33,5,1575.16,0
68,1,1071.03,0
37,5,949.12,0
52,3,810.5,0
16,1,122.64,0
74,1,1033.34,0
216,1,354.8,2
31,3,519.44,0
16,4,2624.26,0
120,1,252.1,0
10,4,1678.12,0
257,2,346.6,2
17,6,1836.34,0
35,2,94.2,0
46,3,1095.08,0
43,6,2707.33,0
114,2,932.97,0
165,2,379.65,0
11,2,382.14,0
10,5,2639.17,0
206,2,1573.2,2
86,3,897.76,0
179,1,189.47,2
60,3,84.65,0
149,1,305.02,0
3,21,6363.59,5
51,2,218.55,0
75,1,349.7,0
301,2,186.39,2
19,2,396.92,0
151,2,486.8200000000001,0
152,1,232.6,0
1,4,3722.42,0
18,4,827.83,0
187,1,59.5,2
286,1,67.23,2
3,7,3119.44,0
183,1,72.0,2
63,1,910.0,0
59,1,172.25,0
25,3,1488.32,0
4,50,65039.62,4
31,15,2504.13,5
39,1,151.29999999999998,0
155,1,308.58000000000004,0
26,10,2265.12,0
318,1,99.5,2
5,9,2308.06,0
8,3,711.86,0
303,1,330.79,2
267,2,806.41,2
271,1,296.88,2
4,13,6328.05,5
32,1,180.48,0
219,2,252.06,2
247,1,228.84,2
281,5,1079.34,2
269,1,138.28,2
32,6,1445.01,0
246,2,306.55,2
15,5,1041.68,0
117,4,799.9,0
36,1,524.14,0
132,3,2375.41,0
217,1,199.85,2
50,8,1980.56,0
39,2,1079.66,0
29,2,333.48,0
37,6,1016.14,0
136,2,752.6,0
219,2,610.59,2
28,1,491.86,0
25,4,2885.24,0
5,2,731.9,0
200,1,339.6,2
18,1,216.9,0
241,1,350.75,2
72,3,668.4300000000001,0
17,12,3131.02,0
3,7,1341.6,0
95,2,1156.36,0
162,1,300.04,0
374,1,79.6,2
96,5,948.25,0
54,5,1647.26,0
288,1,296.25,2
124,6,1186.28,0
288,1,741.26,2
152,2,282.6,0
4,9,2161.35,0
2,14,5189.52,5
12,7,3190.55,0
33,2,659.4100000000001,0
54,2,286.79,0
50,2,1070.65,0
219,1,306.72,2
63,1,1714.96,0
71,3,1521.76,0
2,37,17220.36,5
2,10,2796.51,0
64,4,2634.45,0
34,3,1132.13,0
82,1,345.0,0
1,33,25977.16,5
103,1,178.7,0
7,2,360.01,0
251,1,127.84,2
13,6,912.0,0
10,11,2462.79,0
367,1,230.4,2
76,2,309.04,0
4,1,348.8,0
128,2,1516.0,0
66,2,195.55,0
1,57,37153.85,5
117,2,688.86,0
310,1,558.32,2
67,1,324.8,0
139,3,4599.42,0
255,1,277.07,2
31,7,2635.79,0
52,2,924.6,0
64,1,256.38,0
367,1,112.6,2
6,5,1747.66,0
305,1,155.05,2
29,3,1499.01,0
184,3,814.5,2
42,3,539.0,0
40,4,1366.86,0
92,2,1579.12,0
22,4,4027.36,0
24,2,571.6700000000001,0
29,2,382.98,0
302,3,1140.35,2
145,2,385.64,0
6,2,632.0,0
19,2,957.66,0
33,5,1698.94,0
176,1,189.5,2
58,3,412.05,0
22,1,209.49,0
16,6,2202.99,0
19,1,52.2,0
159,1,384.8,0
25,4,834.57,0
212,2,271.24,2
6,4,691.73,0
253,1,85.0,2
59,9,3385.62,0
11,1,361.62,0
65,1,312.98,0
25,3,865.0600000000001,0
92,3,1255.0,0
52,2,1537.95,0
129,1,1595.48,0
96,3,2651.46,0
57,1,1090.14,0
9,25,8109.519999999999,5
169,3,388.5,0
57,1,216.17,0
326,1,201.16,2
1,5,1245.9,0
18,8,2209.36,0
248,1,305.78,2
58,4,501.56,0
74,1,145.67000000000002,0
31,3,1015.29,0
7,2,3192.54,0
123,4,3104.95,0
2,8,2770.94,0
23,13,6403.25,5
120,3,389.6,0
358,1,540.45,2
54,5,1786.79,0
64,1,122.7,0
86,1,117.24,0
55,1,1281.53,0
21,13,3219.77,0
4,20,17159.52,5
3,5,1191.13,0
11,5,2674.48,0
7,5,787.6,0
189,2,506.8,2
71,1,243.56,0
204,1,349.55,2
120,2,605.63,0
93,1,416.9,0
1,10,1883.81,0
27,4,632.97,0
298,1,821.1,2
24,3,564.62,0
28,4,2593.07,0
50,1,311.16,0
326,1,155.93,2
16,2,388.52,0
183,3,740.95,2
72,5,2867.2,0
37,2,332.64,0
80,4,2369.55,0
57,9,2580.91,0
12,2,626.45,0
50,2,272.04,0
50,2,1212.84,0
59,2,384.81,0
352,1,172.25,2
54,1,351.13,0
2,6,1838.85,0
93,4,678.25,0
23,1,223.85,0
75,1,348.99,0
11,4,464.57,0
169,2,842.65,2
58,2,337.34,0
96,2,1237.53,0
295,1,307.4,2
109,2,608.7900000000001,0
264,1,922.1,2
180,1,376.58,2
169,1,158.85,2
35,1,71.66,0
23,3,568.55,0
17,4,839.14,0
22,5,5112.96,0
79,3,561.5699999999999,0
65,1,90.6,0
361,1,102.0,2
3,6,2427.32,0
11,4,745.06,0
176,3,674.45,2
218,2,3251.071,2
7,7,3515.68,0
2,2,439.92,0
154,2,322.96,0
5,5,1026.42,0
79,3,598.2,0
21,2,230.22,0
22,2,169.55,0
308,4,664.54,2
146,1,80.7,0
7,18,9053.94,5
19,8,2758.26,0
71,2,190.25,0
287,1,264.7,2
49,1,413.59,0
31,6,2526.28,0
207,1,357.98,2
15,2,196.79,0
73,1,869.87,0
60,1,200.14,0
39,4,1871.81,0
30,12,2603.43,0
27,5,920.51,0
4,15,7060.13,5
17,1,320.46,0
20,6,4147.96,0
66,2,1266.08,0
213,1,311.3,2
12,6,855.97,0
30,1,76.8,0
43,9,3466.36,0
4,6,2313.14,0
15,5,1393.69,0
10,12,3901.81,0
211,1,635.66,2
46,3,2043.08,0
134,2,529.73,0
43,7,4582.64,0
10,5,2874.72,0
116,3,962.19,0
198,2,695.61,2
278,1,328.8,2
110,3,473.02,0
77,1,505.18,0
53,1,917.34,0
162,4,4341.21,0
47,3,1421.61,0
17,2,642.8,0
155,3,631.9,0
225,1,440.0,2
7,2,584.07,0
122,2,327.7,0
61,1,104.82,0
63,2,467.66,0
18,8,2360.09,0
7,19,17286.86,5
2,11,2975.59,0
22,3,651.8199999999999,0
29,5,1428.02,0
285,1,626.65,2
176,2,147.20000000000002,2
78,3,1560.38,0
33,1,152.2,0
41,12,3614.92,0
266,1,141.41,2
27,4,652.82,0
109,4,1659.75,0
284,1,154.99,2
9,5,1308.61,0
305,1,409.93,2
17,4,5681.72,0
32,2,746.36,0
1,23,15610.39,5
20,1,225.36,0
124,2,260.25,0
65,1,92.46,0
106,1,725.6400000000001,0
1,23,8214.65,5
24,17,6217.96,5
267,1,183.6,2
5,19,6140.42,5
10,12,10464.85,5
29,5,1353.74,0
267,1,152.55,2
64,2,374.7,0
320,1,265.85,2
4,8,1438.82,0
32,1,151.04,0
5,3,942.26,0
129,1,122.47,0
41,5,499.42,0
102,6,1049.37,0
125,1,375.1,0
33,1,45.6,0
302,2,934.52,2
365,1,182.25,2
4,9,1018.43,0
2,18,4448.54,5
3,1,194.42,0
10,13,50491.81,4
57,1,161.0,0
325,1,76.32000000000001,2
8,14,4076.91,5
12,1,442.85,0
4,17,65164.79,4
37,1,147.35,0
16,11,3104.17,0
138,1,194.9,0
74,6,5976.79,0
5,5,1360.28,0
155,2,216.21,0
239,1,1266.23,2
52,7,2703.23,0
31,2,597.91,0
73,1,144.2,0
4,12,5683.15,0
14,4,692.85,0
23,7,2915.15,0
4,4,1840.42,0
274,2,386.53,2
20,5,1382.74,0
144,1,90.0,0
4,4,2780.15,0
84,1,419.58,0
11,3,2740.43,0
8,3,706.1300000000001,0
123,3,709.71,0
61,2,637.5,0
2,5,1123.86,0
